Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
Burundi,11,-1,1,-1,4,6,-1,0.9,0.08,284,24,Africa
Montserrat,11,-1,1,-1,2,8,1,2204,200,36,7212,North America
Greenland,11,-1,-1,-1,11,0,-1,194,-1,1271,22389,North America
Vatican City,11,-1,-1,-1,2,9,-1,13733,-1,-1,-1,Europe
Seychelles,11,-1,-1,-1,6,5,-1,112,-1,-1,-1,Africa
Suriname,10,-1,1,-1,8,1,-1,17,2,404,689,South America
MS Zaandam,9,-1,2,-1,-1,7,-1,-1,-1,-1,-1,
Mauritania,8,-1,1,-1,6,1,-1,2,0.2,1032,222,Africa
Papua New Guinea,8,-1,-1,-1,-1,8,-1,0.9,-1,604,68,Australia/Oceania
Yemen,7,1,2,-1,1,4,-1,0.2,0.07,120,4,Asia
Bhutan,7,-1,-1,-1,5,2,-1,9,-1,10101,13091,Asia
British Virgin Islands,6,-1,1,-1,3,2,-1,198,33,-1,-1,North America
Caribbean Netherlands,6,1,-1,-1,-1,6,-1,229,-1,110,4195,North America
St. Barth,6,-1,-1,-1,6,0,-1,607,-1,-1,-1,North America
Western Sahara,6,-1,-1,-1,5,1,-1,10,-1,-1,-1,Africa
Anguilla,3,-1,-1,-1,3,0,-1,200,-1,-1,-1,North America
Comoros,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,Africa
Saint Pierre Miquelon,1,-1,-1,-1,-1,1,-1,173,-1,-1,-1,North America
China,82874,12,4633,-1,77642,599,38,58,3,-1,-1,Asia
