index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
133,Madagascar,448,43,2,-1,135,311,2,16,0.07,5670,205,27605453,Africa
134,Taiwan,441,-1,7,-1,408,26,-1,19,0.3,70338,2954,23812157,Asia
135,Ethiopia,433,34,5,-1,128,300,-1,4,0.04,73205,639,114622829,Africa
136,Palestine,423,-1,2,-1,346,75,-1,83,0.4,44876,8821,5087326,Asia
137,Cabo Verde,362,6,3,-1,95,264,-1,652,5,892,1606,555311,Africa
138,Togo,354,-1,12,-1,118,224,-1,43,1,14767,1789,8255653,Africa
139,Isle of Man,336,-1,24,-1,303,9,2,3954,282,4393,51692,84984,Europe
140,Mauritius,332,-1,10,-1,322,0,-1,261,8,101052,79472,1271542,Africa
141,Montenegro,324,-1,9,-1,314,1,-1,516,14,10167,16188,628058,Europe
142,Vietnam,324,-1,-1,-1,266,58,2,3,-1,275000,2828,97241403,Asia
143,Rwanda,321,1,-1,-1,222,99,-1,25,-1,55968,4334,12913795,Africa
144,Nicaragua,279,-1,17,-1,199,63,-1,42,3,-1,-1,6615686,North America
145,Sao Tome and Principe,251,-1,8,-1,4,239,-1,1148,37,175,800,218686,Africa
146,Liberia,249,9,24,1,136,89,-1,49,5,-1,-1,5043542,Africa
147,French Guiana,249,-1,1,-1,137,111,-1,836,3,-1,-1,297751,South America
148,Eswatini,225,5,2,-1,119,104,-1,194,2,4994,4310,1158822,Africa
149,Yemen,209,12,33,-1,11,165,-1,7,1,120,4,29748378,Asia
150,Mauritania,200,27,6,1,7,187,-1,43,1,2583,557,4634928,Africa
151,Myanmar,199,-1,6,-1,108,85,-1,4,0.1,16550,304,54369777,Asia
152,Martinique,197,5,14,-1,91,92,-1,525,37,-1,-1,375296,North America
153,Faeroe Islands,187,-1,-1,-1,187,0,-1,3829,-1,9084,185984,48843,Europe
154,Mozambique,164,2,-1,-1,48,116,-1,5,-1,7480,240,31149023,Africa
155,Uganda,160,-1,-1,-1,66,94,-1,4,-1,81682,1793,45562477,Africa
156,Guadeloupe,155,-1,13,-1,109,33,3,387,32,2866,7163,400117,North America
157,Gibraltar,151,-1,-1,-1,147,4,-1,4482,-1,6101,181082,33692,Europe
158,Brunei,141,-1,1,-1,136,4,2,323,2,18193,41630,437013,Asia
159,Mongolia,141,1,-1,-1,28,113,27,43,-1,12153,3714,3272228,Asia
160,Benin,135,-1,3,-1,61,71,-1,11,0.2,26792,2217,12084945,Africa
161,Cayman Islands,129,8,1,-1,61,67,-1,1965,15,7959,121262,65635,North America
162,Guyana,127,-1,10,-1,57,60,3,162,13,1329,1691,786139,South America
163,Bermuda,125,-1,9,-1,80,36,2,2006,144,5784,92838,62302,North America
164,Cambodia,123,-1,-1,-1,122,1,-1,7,-1,15830,948,16692685,Asia
165,Trinidad and Tobago,116,-1,8,-1,108,0,-1,83,6,2835,2026,1398999,North America
166,Aruba,101,-1,3,-1,95,3,4,946,28,2048,19191,106717,North America
167,Bahamas,97,-1,11,-1,44,42,1,247,28,1910,4862,392826,North America
168,Monaco,97,-1,4,-1,90,3,1,2474,102,-1,-1,39211,Europe
169,Barbados,90,-1,7,-1,70,13,4,313,24,4438,15445,287337,North America
170,Malawi,82,10,3,-1,28,51,1,4,0.2,2411,126,19070499,Africa
171,Liechtenstein,82,-1,1,-1,55,26,-1,2151,26,900,23612,38116,Europe
172,Comoros,78,44,1,-1,18,59,-1,90,1,-1,-1,867421,Africa
173,Sint Maarten,77,-1,15,-1,59,3,1,1798,350,437,10205,42821,North America
174,Libya,72,1,3,-1,38,31,-1,10,0.4,4351,634,6860692,Africa
175,Angola,60,2,3,-1,17,40,-1,2,0.09,6136,187,32740203,Africa
176,French Polynesia,60,-1,-1,-1,60,0,-1,214,-1,3686,13130,280731,Australia/Oceania
177,Syria,59,1,4,1,37,18,-1,3,0.2,-1,-1,17449901,Asia
178,Zimbabwe,51,-1,4,-1,18,29,-1,3,0.3,28019,1888,14838265,Africa
179,Macao,45,-1,-1,-1,45,0,-1,69,-1,-1,-1,648331,Asia
180,Burundi,42,-1,1,-1,20,21,-1,4,0.08,284,24,11847387,Africa
181,Saint Martin,40,-1,3,-1,33,4,1,1037,78,-1,-1,38590,North America
182,Eritrea,39,-1,-1,-1,39,0,-1,11,-1,-1,-1,3540846,Africa
183,Botswana,29,-1,1,-1,19,9,-1,12,0.4,14855,6332,2346068,Africa
184,Antigua and Barbuda,25,-1,3,-1,19,3,1,256,31,183,1870,97839,North America
185,Gambia,24,-1,1,-1,13,10,-1,10,0.4,1476,613,2408415,Africa
186,Timor-Leste,24,-1,-1,-1,24,0,-1,18,-1,738,561,1315521,Asia
187,Grenada,22,-1,-1,-1,17,5,4,196,-1,3007,26737,112466,North America
188,Bhutan,21,-1,-1,-1,6,15,-1,27,-1,14843,19260,770656,Asia
189,Laos,19,-1,-1,-1,14,5,-1,3,-1,5044,694,7263530,Asia
190,Namibia,19,1,-1,-1,14,5,-1,7,-1,2681,1057,2535571,Africa
191,Belize,18,-1,2,-1,16,0,-1,45,5,1435,3617,396791,North America
192,Fiji,18,-1,-1,-1,15,3,-1,20,-1,1300,1451,895730,Australia/Oceania
193,New Caledonia,18,-1,-1,-1,18,0,-1,63,-1,5454,19124,285193,Australia/Oceania
194,Saint Lucia,18,-1,-1,-1,18,0,-1,98,-1,867,4724,183536,North America
195,St. Vincent Grenadines,18,-1,-1,-1,14,4,-1,162,-1,175,1578,110902,North America
196,Curaçao,16,-1,1,-1,14,1,-1,98,6,504,3073,164020,North America
