index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3,
139,Réunion,477,4,1,-1,411,-1,65,1,533,1,17200,19222,894801,Africa,1876,894801,52,
140,Cabo Verde,466,8,5,1,237,44,224,-1,839,9,1307,2353,555492,Africa,1192,111098,425,
141,Palestine,451,2,3,-1,372,-1,76,-1,89,0.6,44876,8815,5090899,Asia,11288,1696966,113,
142,Togo,445,2,13,-1,230,15,202,-1,54,2,20948,2536,8261500,Africa,18565,635500,394,
143,Taiwan,443,-1,7,-1,427,-1,9,-1,19,0.3,72507,3045,23813449,Asia,53755,3401921,328,
144,Yemen,399,45,87,3,15,1,297,-1,13,3,120,4,29768166,Asia,74607,342163,248,68
145,Rwanda,377,-1,1,-1,262,-1,114,-1,29,0.08,66976,5183,12923473,Africa,34280,12923473,193,
146,Malawi,358,22,4,-1,42,-1,312,1,19,0.2,5049,265,19085404,Africa,53311,4771351,3,780
147,Isle of Man,336,-1,24,-1,311,-1,1,-1,3953,282,5003,58861,84997,Europe,253,3542,17,
148,Mauritius,335,-1,10,-1,322,-1,3,-1,263,8,122008,95948,1271605,Africa,3796,127161,10,
149,Vietnam,328,-1,-1,-1,298,5,30,1,3,-1,275000,2827,97267698,Asia,296548,-1,354,
150,Montenegro,324,-1,9,-1,315,-1,0,-1,516,14,10167,16188,628060,Europe,1938,69784,62,
151,Liberia,311,15,28,1,167,8,116,-1,62,6,-1,-1,5047124,Africa,16229,180254,,
152,Mozambique,307,53,2,-1,98,1,207,-1,10,0.06,11239,361,31175443,Africa,101549,15587722,2,774
153,Eswatini,294,1,3,-1,198,4,93,-1,254,3,4994,4308,1159183,Africa,3943,386394,232,
154,Benin,244,1,3,-1,148,1,93,-1,20,0.2,34682,2868,12094521,Africa,49568,4031507,349,
155,Myanmar,232,4,6,-1,143,5,83,-1,4,0.1,28304,520,54380722,Asia,234400,9063454,1,921
156,Zimbabwe,206,3,4,-1,29,-1,173,-1,14,0.3,46613,3140,14844771,Africa,72062,3711193,318,
157,Martinique,200,-1,14,-1,98,-1,88,-1,533,37,-1,-1,375287,North America,1876,26806,,
158,Faeroe Islands,187,-1,-1,-1,187,-1,0,-1,3828,-1,9677,198104,48848,Europe,261,-1,5,
159,Mongolia,185,-1,-1,-1,44,-1,141,19,57,-1,14249,4352,3273816,Asia,17696,-1,230,
160,Libya,182,14,5,-1,52,-1,125,-1,27,0.7,6206,904,6863501,Africa,37712,1372700,1,106
161,Gibraltar,172,2,-1,-1,151,-1,21,-1,5105,-1,7879,233854,33692,Europe,196,-1,4,
162,Guadeloupe,162,-1,14,-1,138,-1,10,1,405,35,4137,10339,400119,North America,2470,28580,97,
163,Guyana,153,-1,12,-1,70,-1,71,2,195,15,1658,2109,786253,South America,5139,65521,474,
164,Cayman Islands,151,1,1,-1,77,2,73,-1,2300,15,12003,182811,65658,North America,435,65658,5,
165,Bermuda,141,-1,9,-1,112,-1,20,2,2263,144,7506,120491,62295,North America,442,6922,8,
166,Brunei,141,-1,2,-1,138,-1,1,1,323,5,19624,44892,437139,Asia,3100,218570,22,
167,Comoros,132,26,2,-1,27,1,103,-1,152,2,-1,-1,867979,Africa,6576,433990,,
168,Cambodia,125,-1,-1,-1,123,-1,2,1,7,-1,21087,1263,16699641,Asia,133597,-1,792,
169,Syria,123,-1,6,1,50,4,67,-1,7,0.3,-1,-1,17462715,Asia,141973,2910453,,
170,Trinidad and Tobago,117,-1,8,-1,108,-1,1,-1,84,6,3169,2265,1399135,North America,11958,174892,442,
171,Bahamas,102,-1,11,-1,49,-1,42,1,260,28,2101,5347,392939,North America,3852,35722,187,
172,Aruba,101,-1,3,-1,98,-1,0,-1,946,28,2134,19994,106730,North America,1057,35577,50,
173,Monaco,99,-1,4,-1,90,-1,5,1,2524,102,16200,413055,39220,Europe,396,9805,2,
174,Barbados,92,-1,7,-1,76,-1,9,1,320,24,5499,19137,287348,North America,3123,41050,52,
175,Angola,86,-1,4,-1,18,-1,64,1,3,0.1,10000,305,32771074,Africa,381059,8192769,3,277
176,Liechtenstein,82,-1,1,-1,55,-1,26,-1,2151,26,900,23610,38119,Europe,465,38119,42,
177,Sint Maarten,77,-1,15,-1,60,-1,2,1,1798,350,461,10762,42836,North America,556,2856,93,
178,Burundi,63,-1,1,-1,33,-1,29,-1,5,0.08,284,24,11858077,Africa,188223,11858077,41,754
179,French Polynesia,60,-1,-1,-1,60,-1,0,-1,214,-1,4040,14389,280779,Australia/Oceania,4680,-1,69,
180,Suriname,54,10,1,-1,9,-1,44,-1,92,2,782,1334,586207,South America,10856,586207,750,
181,Bhutan,47,4,-1,-1,9,3,38,-1,61,-1,17620,22856,770911,Asia,16402,-1,44,
182,Macao,45,-1,-1,-1,45,-1,0,-1,69,-1,-1,-1,648597,Asia,14413,-1,,
183,Saint Martin,41,-1,3,-1,33,-1,5,1,1062,78,614,15903,38610,North America,942,12870,63,
184,Botswana,40,2,1,-1,23,3,16,-1,17,0.4,21716,9251,2347497,Africa,58687,2347497,108,
185,Eritrea,39,-1,-1,-1,39,-1,0,-1,11,-1,-1,-1,3542322,Africa,90829,-1,,
186,Antigua and Barbuda,26,-1,3,-1,19,-1,4,1,266,31,246,2514,97864,North America,3764,32621,398,
187,St. Vincent Grenadines,26,-1,-1,-1,15,-1,11,-1,234,-1,593,5347,110913,North America,4266,-1,187,
188,Gambia,25,-1,1,-1,20,-1,4,-1,10,0.4,1756,728,2410463,Africa,96419,2410463,1,373
189,Namibia,25,-1,-1,-1,16,-1,9,-1,10,-1,3970,1565,2536955,Africa,101478,-1,639,
190,Timor-Leste,24,-1,-1,-1,24,-1,0,-1,18,-1,1290,980,1316277,Asia,54845,-1,1,20
191,Grenada,23,-1,-1,-1,18,-1,5,2,204,-1,3516,31258,112482,North America,4891,-1,32,
192,Curaçao,20,1,1,-1,15,1,4,-1,122,6,572,3487,164040,North America,8202,164040,287,
193,New Caledonia,20,-1,-1,-1,18,-1,2,-1,70,-1,6681,23420,285275,Australia/Oceania,14264,-1,43,
194,Laos,19,-1,-1,-1,16,-1,3,-1,3,-1,7249,998,7266705,Asia,382458,-1,1,2
195,Belize,18,-1,2,-1,16,-1,0,-1,45,5,1572,3960,397008,North America,22056,198504,253,
196,Dominica,18,2,-1,-1,16,-1,2,-1,250,-1,433,6016,71972,North America,3998,-1,166,
197,Fiji,18,-1,-1,-1,15,-1,3,-1,20,-1,2431,2713,895925,Australia/Oceania,49774,-1,369,
198,Saint Lucia,18,-1,-1,-1,18,-1,0,-1,98,-1,1012,5513,183561,North America,10198,-1,181,
199,Saint Kitts and Nevis,15,-1,-1,-1,15,-1,0,-1,282,-1,396,7448,53169,North America,3545,-1,134,
200,Falkland Islands,13,-1,-1,-1,13,-1,0,-1,3745,-1,503,144915,3471,South America,267,-1,7,
201,Greenland,13,-1,-1,-1,11,-1,2,-1,229,-1,2174,38300,56762,North America,4366,-1,26,
202,Turks and Caicos,12,-1,1,-1,11,-1,0,-1,310,26,153,3956,38673,North America,3223,38673,253,
203,Vatican City,12,-1,-1,-1,2,-1,10,-1,14981,-1,-1,-1,801,Europe,67,-1,,
204,Montserrat,11,-1,1,-1,10,-1,0,-1,2204,200,61,12220,4992,North America,454,4992,82,
205,Seychelles,11,-1,-1,-1,11,-1,0,-1,112,-1,-1,-1,98299,Africa,8936,-1,,
206,MS Zaandam,9,-1,2,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
207,Western Sahara,9,-1,1,-1,6,-1,2,-1,15,2,-1,-1,596026,Africa,66225,596026,,
208,British Virgin Islands,8,-1,1,-1,7,-1,0,-1,265,33,167,5527,30215,North America,3777,30215,181,
209,Papua New Guinea,8,-1,-1,-1,8,-1,0,-1,0.9,-1,4646,520,8932400,Australia/Oceania,1116550,-1,1,923
210,Caribbean Netherlands,7,-1,-1,-1,7,-1,0,-1,267,-1,424,16181,26203,North America,3743,-1,62,
211,St. Barth,6,-1,-1,-1,6,-1,0,-1,608,-1,137,13873,9875,North America,1646,-1,72,
212,Anguilla,3,-1,-1,-1,3,-1,0,-1,200,-1,41,2735,14992,North America,4997,-1,366,
213,Lesotho,2,-1,-1,-1,1,-1,1,-1,0.9,-1,283,132,2140884,Africa,1070442,-1,7,565
214,Saint Pierre Miquelon,1,-1,-1,-1,1,-1,0,-1,173,-1,-1,-1,5796,North America,5796,-1,,
215,China,83022,5,4634,-1,78315,8,73,3,58,3,-1,-1,1439323776,Asia,17337,310601,,
