index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
67,Honduras,4401,-1,188,-1,493,3720,13,445,19,14790,1496,9889121,North America
68,Sudan,4146,-1,184,-1,588,3374,-1,95,4,401,9,43744402,Africa
69,Luxembourg,4001,-1,110,-1,3791,100,4,6402,176,70148,112241,624975,Europe
70,Guatemala,3954,-1,63,-1,289,3602,5,221,4,31427,1757,17882519,North America
71,Hungary,3793,-1,505,-1,1856,1432,25,393,52,169960,17590,9662523,Europe
72,Tajikistan,3424,-1,47,-1,1575,1802,-1,360,5,-1,-1,9515811,Asia
73,Uzbekistan,3369,-1,14,-1,2668,687,4,101,0.4,460000,13763,33421893,Asia
74,Guinea,3275,-1,20,-1,1673,1582,24,250,2,14407,1100,13095550,Africa
75,Senegal,3253,-1,38,-1,1586,1629,18,195,2,37547,2249,16697987,Africa
76,Thailand,3054,-1,57,-1,2931,66,59,44,0.8,375453,5380,69784013,Asia
77,Greece,2903,-1,173,-1,1374,1356,17,278,17,166245,15943,10427500,Europe
78,Djibouti,2697,-1,18,-1,1185,1494,-1,2734,18,23140,23454,986598,Africa
79,Ivory Coast,2556,-1,31,-1,1302,1223,-1,97,1,25524,970,26310853,Africa
80,DRC,2546,-1,68,-1,365,2113,-1,29,0.8,-1,-1,89271601,Africa
81,Bulgaria,2460,-1,133,-1,912,1415,22,354,19,76391,10987,6952943,Europe
82,Bosnia and Herzegovina,2435,-1,151,-1,1744,540,4,742,46,61111,18617,3282587,Europe
83,Gabon,2319,-1,14,-1,631,1674,12,1044,6,12060,5432,2220348,Africa
84,Croatia,2244,-1,101,-1,2047,96,6,546,25,64266,15646,4107462,Europe
85,El Salvador,2109,-1,37,-1,873,1199,29,325,6,79711,12295,6483178,North America
86,North Macedonia,2039,-1,119,-1,1470,450,21,979,57,26463,12702,2083382,Europe
87,Cuba,1974,-1,82,-1,1724,168,4,174,7,97003,8564,11327235,North America
88,Estonia,1840,-1,66,-1,1561,213,-1,1387,50,79605,60013,1326455,Europe
89,Iceland,1805,-1,10,-1,1792,3,-1,5293,29,59613,174800,341036,Europe
90,Somalia,1731,-1,67,-1,265,1399,2,109,4,-1,-1,15846666,Africa
91,Lithuania,1647,-1,66,-1,1184,397,17,604,24,281232,103188,2725434,Europe
92,Mayotte,1645,-1,20,-1,1314,311,10,6045,73,5200,19108,272138,Africa
93,Kyrgyzstan,1520,-1,16,-1,1043,461,4,233,2,105815,16245,6513579,Asia
94,Slovakia,1515,-1,28,-1,1327,160,1,278,5,163362,29923,5459404,Europe
95,New Zealand,1504,-1,21,-1,1462,21,-1,301,4,267435,53465,5002100,Australia/Oceania
96,Slovenia,1471,-1,108,-1,1354,9,2,708,52,77947,37494,2078912,Europe
97,Kenya,1471,-1,55,-1,408,1008,7,27,1,67341,1255,53650862,Africa
98,Sri Lanka,1469,-1,10,-1,732,727,1,69,0.5,57327,2678,21404986,Asia
99,Maldives,1457,-1,5,-1,197,1255,9,2700,9,11775,21822,539599,Asia
100,Venezuela,1245,-1,11,-1,302,932,2,44,0.4,897695,31561,28443061,South America
101,Guinea-Bissau,1195,-1,7,-1,42,1146,-1,609,4,1500,764,1963230,Africa
102,Haiti,1174,-1,33,-1,22,1119,-1,103,3,3475,305,11389143,North America
103,Lebanon,1161,-1,26,-1,692,443,3,170,4,77488,11348,6828121,Asia
104,Mali,1116,-1,70,-1,632,414,-1,55,3,3483,173,20189289,Africa
105,Hong Kong,1067,-1,4,-1,1034,29,1,142,0.5,202930,27089,7491257,Asia
106,Latvia,1057,-1,23,-1,741,293,3,560,12,103553,54849,1887954,Europe
107,Zambia,1057,-1,7,-1,779,271,1,58,0.4,24275,1324,18329866,Africa
108,Tunisia,1051,-1,48,-1,929,74,2,89,4,49113,4160,11806826,Africa
109,Albania,1050,-1,33,-1,812,205,3,365,11,13768,4784,2878078,Europe
110,Equatorial Guinea,1043,-1,12,-1,165,866,-1,746,9,854,611,1398014,Africa
111,South Sudan,994,-1,10,-1,6,978,-1,89,0.9,3356,300,11181121,Africa
112,Costa Rica,984,-1,10,-1,639,335,2,193,2,24338,4782,5089715,North America
113,Niger,952,-1,63,-1,796,93,-1,39,3,5989,248,24110413,Africa
114,Cyprus,939,-1,17,-1,594,328,4,778,14,106028,87878,1206536,Asia
115,Nepal,886,-1,4,-1,183,699,-1,30,0.1,158564,5452,29084694,Asia
116,Paraguay,884,-1,11,-1,392,481,-1,124,2,26760,3756,7124097,South America
117,Burkina Faso,845,-1,53,-1,672,120,-1,41,3,-1,-1,20843247,Africa
118,Uruguay,803,-1,22,-1,650,131,5,231,6,40229,11585,3472627,South America
119,Sierra Leone,782,-1,45,-1,297,440,-1,98,6,-1,-1,7960641,Africa
120,Andorra,763,-1,51,-1,676,36,3,9877,660,3750,48541,77254,Europe
121,Nicaragua,759,-1,35,-1,370,354,-1,115,5,-1,-1,6616977,North America
122,Georgia,735,-1,12,-1,557,166,6,184,3,50208,12584,3989847,Asia
